,RP_5,RP_10,RP_25,RP_100,RP_2,RP_50
9019828,1.0,4.0,1.0,6.0,0.0,0.0
9019864,4.0,0.0,0.0,0.0,6.0,0.0
9019981,0.0,0.0,0.0,0.0,0.0,0.0
9019982,0.0,0.0,0.0,0.0,0.0,0.0
9020005,1.0,6.0,2.0,2.0,4.0,1.0
9020015,1.0,2.0,0.0,0.0,1.0,0.0
9020032,0.0,3.0,2.0,6.0,0.0,1.0
9020123,1.0,0.0,1.0,0.0,8.0,1.0
9020126,0.0,0.0,0.0,0.0,0.0,0.0
9020173,1.0,1.0,0.0,0.0,4.0,1.0
9020258,2.0,0.0,0.0,0.0,1.0,0.0
9020260,0.0,1.0,0.0,0.0,1.0,0.0
9020312,2.0,0.0,0.0,0.0,1.0,0.0
9020319,0.0,2.0,0.0,0.0,2.0,0.0
9020332,0.0,0.0,0.0,0.0,1.0,0.0
9020344,0.0,0.0,3.0,1.0,8.0,2.0
9020357,1.0,1.0,1.0,0.0,2.0,0.0
9020411,1.0,0.0,0.0,0.0,1.0,0.0
9020412,2.0,1.0,0.0,0.0,1.0,0.0
9020496,1.0,0.0,0.0,0.0,0.0,0.0
9020508,5.0,0.0,0.0,0.0,6.0,1.0
9020518,0.0,0.0,0.0,0.0,0.0,0.0
9020565,0.0,1.0,0.0,0.0,1.0,0.0
9020617,1.0,0.0,0.0,0.0,0.0,0.0
9020680,1.0,0.0,0.0,0.0,5.0,1.0
9020705,0.0,0.0,0.0,0.0,0.0,0.0
9020714,1.0,1.0,1.0,0.0,7.0,0.0
9020720,3.0,5.0,2.0,1.0,2.0,1.0
9020721,0.0,1.0,0.0,0.0,0.0,0.0
9020722,0.0,0.0,0.0,0.0,0.0,0.0
9020728,0.0,0.0,0.0,0.0,0.0,0.0
9020731,0.0,2.0,0.0,0.0,2.0,0.0
9020756,1.0,1.0,1.0,0.0,5.0,0.0
9020797,0.0,1.0,1.0,0.0,4.0,0.0
9020803,0.0,0.0,0.0,0.0,2.0,0.0
9020835,2.0,6.0,2.0,0.0,2.0,1.0
9020855,3.0,4.0,3.0,2.0,11.0,0.0
9020874,1.0,0.0,1.0,0.0,5.0,1.0
9020876,0.0,0.0,0.0,0.0,0.0,0.0
9020899,1.0,0.0,1.0,0.0,0.0,0.0
9020907,1.0,0.0,0.0,1.0,3.0,0.0
9020924,0.0,1.0,0.0,0.0,2.0,0.0
