,RP_2,RP_5,RP_10,RP_25,RP_50,RP_100
9019828,16.0,8.0,15.0,13.0,3.0,16.0
9019864,33.0,14.0,15.0,2.0,0.0,0.0
9019981,0.0,0.0,0.0,0.0,0.0,0.0
9019982,0.0,0.0,0.0,0.0,0.0,0.0
9020005,52.0,38.0,23.0,7.0,5.0,7.0
9020015,12.0,3.0,3.0,0.0,0.0,0.0
9020032,13.0,11.0,12.0,6.0,12.0,24.0
9020123,31.0,7.0,4.0,1.0,1.0,0.0
9020126,0.0,0.0,0.0,0.0,0.0,0.0
9020173,50.0,9.0,4.0,1.0,1.0,0.0
9020258,4.0,2.0,1.0,0.0,0.0,0.0
9020260,6.0,0.0,1.0,0.0,1.0,0.0
9020312,3.0,2.0,1.0,0.0,0.0,0.0
9020319,41.0,9.0,3.0,1.0,0.0,0.0
9020332,3.0,0.0,0.0,1.0,0.0,0.0
9020344,33.0,5.0,5.0,3.0,9.0,5.0
9020357,26.0,4.0,2.0,1.0,1.0,0.0
9020411,12.0,1.0,0.0,1.0,0.0,0.0
9020412,9.0,4.0,1.0,0.0,1.0,0.0
9020496,5.0,1.0,1.0,0.0,0.0,0.0
9020508,26.0,10.0,3.0,0.0,2.0,0.0
9020518,0.0,0.0,0.0,0.0,0.0,0.0
9020565,5.0,0.0,2.0,0.0,0.0,0.0
9020617,0.0,1.0,1.0,0.0,0.0,0.0
9020680,15.0,3.0,2.0,0.0,2.0,0.0
9020705,0.0,0.0,0.0,0.0,0.0,0.0
9020714,18.0,3.0,3.0,2.0,0.0,0.0
9020720,19.0,13.0,12.0,5.0,1.0,2.0
9020721,3.0,0.0,1.0,1.0,0.0,0.0
9020722,0.0,0.0,0.0,0.0,0.0,0.0
9020728,0.0,0.0,0.0,0.0,0.0,0.0
9020731,9.0,0.0,2.0,1.0,0.0,0.0
9020756,43.0,2.0,4.0,1.0,0.0,1.0
9020797,14.0,1.0,1.0,4.0,0.0,0.0
9020803,14.0,4.0,8.0,4.0,2.0,7.0
