country,comid,latitude,longitude,alert
ecu,9019828,1.2448,-78.88538,R0
ecu,9019864,1.33217,-78.6915,R0
ecu,9019981,1.23703,-78.53488,R0
ecu,9019982,1.18486,-78.49713,R0
ecu,9020005,1.19144,-78.72321,R0
ecu,9020015,1.17529,-78.7293,R0
ecu,9020032,1.1953,-78.92034,R0
ecu,9020123,1.16651,-78.67721,R0
ecu,9020126,1.17439,-78.44604,R0
ecu,9020173,1.15985,-78.75776,R0
ecu,9020258,1.13515,-78.68966,R0
ecu,9020260,1.1525,-78.96077,R0
ecu,9020312,1.10186,-78.72934,R0
ecu,9020319,1.0762,-78.8944,R0
ecu,9020332,1.07723,-78.94368,R0
ecu,9020344,1.07278,-79.21623,R0
ecu,9020357,1.09378,-78.80316,R0
ecu,9020411,1.0578,-78.86678,R0
ecu,9020412,1.05087,-78.82326,R0
ecu,9020496,1.03151,-78.82985,R0
ecu,9020508,1.04364,-79.26558,R0
ecu,9020518,1.07764,-78.46847,R0
ecu,9020565,1.04168,-79.0044,R0
ecu,9020617,1.02677,-78.7369,R0
ecu,9020680,1.01605,-79.31765,R0
ecu,9020705,1.09849,-78.28897,R0
ecu,9020714,0.96491,-79.04507,R0
ecu,9020720,0.93839,-79.09217,R0
ecu,9020721,0.97627,-78.78266,R0
ecu,9020722,0.93831,-78.1892,R0
ecu,9020728,1.04575,-78.33534,R0
ecu,9020731,1.00437,-79.42348,R0
ecu,9020756,0.96903,-79.50537,R0
ecu,9020797,0.92141,-79.06538,R0
ecu,9020803,0.929,-78.13796,R0
ecu,9020835,0.90027,-79.07795,R0
ecu,9020855,0.89346,-78.06171,R100
ecu,9020874,0.90645,-79.40719,R0
ecu,9020876,1.01815,-78.51702,R0
ecu,9020899,0.87254,-79.84117,R0
ecu,9020907,0.86563,-79.84375,R0
ecu,9020924,0.91718,-78.98492,R0
ecu,9020934,0.95768,-79.36726,R0
ecu,9020941,0.8818,-78.64822,R0
ecu,9020974,0.84087,-78.65947,R0
ecu,9020993,0.88182,-79.44003,R0
ecu,9020995,0.83665,-77.69482,R100
ecu,9020997,0.90179,-78.80451,R0
ecu,9020998,0.83577,-78.70595,R0
ecu,9021002,0.84058,-78.95004,R0
ecu,9021003,0.8307,-78.92544,R0
ecu,9021012,0.86235,-78.08453,R0
ecu,9021015,0.88898,-79.69132,R0
ecu,9021041,0.82201,-77.67354,R100
ecu,9021045,0.81385,-77.67135,R100
ecu,9021049,0.81905,-79.94319,R0
ecu,9021058,0.82959,-78.97629,R0
ecu,9021062,0.81546,-79.71674,R0
ecu,9021064,0.83338,-77.77057,R100
ecu,9021081,0.83816,-78.44873,R0
ecu,9021088,0.81299,-78.92971,R0
ecu,9021152,0.77599,-79.16176,R0
ecu,9021163,0.78493,-78.88152,R0
ecu,9021168,0.83118,-79.06623,R0
ecu,9021173,0.79941,-79.40479,R0
ecu,9021174,0.78421,-79.12302,R0
ecu,9021183,0.8209,-78.35187,R10
ecu,9021184,0.78443,-78.20479,R0
ecu,9021186,0.77714,-78.4212,R0
ecu,9021191,0.75977,-79.3671,R0
ecu,9021212,0.77933,-78.45377,R0
ecu,9021217,0.79706,-79.45555,R0
ecu,9021223,0.77397,-78.92984,R0
ecu,9021236,0.81046,-79.85942,R0
ecu,9021237,0.8028,-77.77,R100
ecu,9021289,0.74368,-78.23645,R100
ecu,9021326,0.72001,-78.21815,R0
ecu,9021329,0.7201,-78.20798,R100
ecu,9021332,0.76679,-79.6956,R0
ecu,9021342,0.72884,-78.4582,R0
ecu,9021343,0.70983,-78.18586,R0
ecu,9021352,0.73893,-79.16196,R0
ecu,9021365,0.73991,-79.0863,R0
ecu,9021378,0.70282,-79.69,R0
ecu,9021414,0.71633,-78.94541,R0
ecu,9021459,0.67409,-78.95548,R0
ecu,9021465,0.68605,-78.1937,R100
ecu,9021467,0.68981,-79.72379,R0
ecu,9021468,0.73945,-78.71242,R0
ecu,9021469,0.66331,-78.6666,R0
ecu,9021479,0.71043,-79.39546,R0
ecu,9021481,0.79678,-79.58406,R0
ecu,9021489,0.66358,-77.48348,R0
ecu,9021493,0.67175,-80.05061,R0
ecu,9021496,0.68748,-78.85522,R0
ecu,9021498,0.65732,-78.17513,R0
ecu,9021507,0.66826,-78.57107,R0
ecu,9021511,0.65155,-79.34273,R0
ecu,9021527,0.65182,-80.01703,R0
ecu,9021534,0.64796,-77.53905,R0
ecu,9021582,0.69154,-78.38336,R0
ecu,9021585,0.63715,-79.37147,R0
ecu,9021641,0.64641,-78.92764,R0
ecu,9021642,0.6329,-78.15154,R100
ecu,9021643,0.60478,-77.76525,R100
ecu,9021644,0.61299,-77.73904,R100
ecu,9021681,0.62238,-77.48178,R0
ecu,9021688,0.61684,-79.98473,R0
ecu,9021692,0.62568,-79.55811,R0
ecu,9021696,0.59166,-78.11336,R2
ecu,9021701,0.63787,-79.02321,R0
ecu,9021712,0.58657,-79.60278,R0
ecu,9021713,0.58505,-77.47761,R0
ecu,9021733,0.58527,-79.11788,R0
ecu,9021738,0.57692,-79.09057,R0
ecu,9021769,0.57428,-79.56802,R0
ecu,9021779,0.56354,-79.67062,R0
ecu,9021780,0.57236,-79.65113,R0
ecu,9021783,0.5695,-79.90088,R0
ecu,9021808,0.60649,-78.62784,R0
ecu,9021830,0.56933,-78.91812,R0
ecu,9021843,0.56994,-78.13141,R100
ecu,9021881,0.53648,-79.99765,R0
ecu,9021901,0.53481,-79.95124,R0
ecu,9021902,0.58436,-78.84031,R0
ecu,9021913,0.52657,-78.18125,R100
ecu,9021914,0.52582,-78.12074,R100
ecu,9021926,0.53206,-77.82412,R100
ecu,9021927,0.55048,-77.78325,R100
ecu,9021956,0.57948,-78.97093,R0
ecu,9021963,0.50897,-78.11607,R100
ecu,9021970,0.50691,-78.1075,R100
ecu,9022001,0.50705,-79.97715,R0
ecu,9022006,0.575,-78.69032,R0
ecu,9022009,0.50757,-79.89064,R0
ecu,9022024,0.56408,-79.4609,R0
ecu,9022030,0.48454,-78.09092,R100
ecu,9022031,0.56198,-78.00018,R100
ecu,9022038,0.47997,-78.69385,R0
ecu,9022041,0.47348,-78.0446,R100
ecu,9022043,0.48048,-78.70522,R0
ecu,9022046,0.5124,-79.70147,R0
ecu,9022047,0.47422,-79.38621,R0
ecu,9022055,0.48399,-79.23691,R0
ecu,9022064,0.47705,-79.07756,R0
ecu,9022068,0.46345,-77.53991,R0
ecu,9022069,0.52875,-77.51354,R0
ecu,9022076,0.46082,-79.15308,R0
ecu,9022078,0.46089,-79.39054,R0
ecu,9022081,0.45805,-79.20152,R0
ecu,9022114,0.45903,-79.31287,R0
ecu,9022128,0.44576,-79.15613,R0
ecu,9022137,0.47663,-77.8822,R100
ecu,9022139,0.44978,-77.9833,R100
ecu,9022167,0.50063,-79.64801,R0
ecu,9022170,0.46349,-78.43071,R2
ecu,9022173,0.44463,-78.01106,R100
ecu,9022185,0.41761,-78.44219,R2
ecu,9022227,0.41763,-77.93365,R100
ecu,9022233,0.4508,-78.1223,R50
ecu,9022258,0.4071,-77.20008,R0
ecu,9022273,0.39187,-77.89517,R100
ecu,9022275,0.40495,-76.33843,R0
ecu,9022281,0.42232,-79.3647,R0
ecu,9022282,0.40738,-76.24811,R0
ecu,9022290,0.38242,-77.15625,R0
